<TICKER>        <NAME>
CAVA.US         CAVA GROUP
CB.US           CHUBB
CBD.US          CIA BRASILEIRA DE DISTRIBUICAO
CBH.US          VIRTUS CONVERTIBLE & INCOME 20
CBL.US          CBL & ASSOCIATES PROPERTIES
CBOE.US         CBOE GLOBAL MARKETS
CBRE.US         CBRE GROUP
CBT.US          CABOT
CBU.US          COMMUNITY BANK SYSTEM
CBZ.US          CBIZ
CC.US           CHEMOURS
CCI.US          CROWN CASTLE
CCIF.US         CARLYLE CREDIT INCOME FUND
CCJ.US          CAMECO
CCK.US          CROWN HOLDINGS
CCL.US          CARNIVAL
CCM.US          CONCORD MEDICAL SERVICES HOLDINGS
CCO.US          CLEAR CHANNEL OUTDOOR HOLDINGS
CCRD.US         CORECARD
CCS.US          CENTURY COMMUNITIES
CCU.US          CIA CERVECERIAS UNIDAS
CCV-U.US        CHURCHILL CAPITAL V
CCV-WS.US       CHURCHILL CAPITAL V
CCV.US          CHURCHILL CAPITAL V
CCVI-U.US       CHURCHILL CAPITAL VI
CCVI-WS.US      CHURCHILL CAPITAL VI
CCVI.US         CHURCHILL CAPITAL VI
CCZ.US          Comcast Holdings Corp
CDAY.US         CERIDIAN HCM HOLDING
CDE.US          COEUR MINING
CDEI.US         CALVERT US LARGE-CAP DIVERSITY EQUITY AND INCLUSION ETF
CDRE.US         CADRE HOLDINGS
CDR_B.US        Cedar Realty Trust
CDR_C.US        Cedar Realty Trust
CE.US           CELANESE
CEE.US          CENTRAL AND EASTERN EUROPE FUND
CEF.US          SPROTT PHYSICAL GOLD AND SILVER TRUST
CEIX.US         CONSOL ENERGY
CELG-R.US       Bristol-Myers Squibb Company C
CEM.US          CLEARBRIDGE MLP & MIDSTREAM FUND
CEN.US          CENTER COAST BROOKFIELD MLP & ENERGY INFRASTRUCTURE FUND
CEPU.US         CENTRAL PUERTO
CEQP.US         CRESTWOOD EQUITY PARTNERS
CEQP_.US        Crestwood Equity Partners LP
CETF.US         DRIVEWEALTH ICE 100 ETF
CF.US           CF INDUSTRIES HOLDINGS
CFG.US          CITIZENS FINANCIAL GROUP
CFG_D.US        Citizens Financial Group
CFG_E.US        Citizens Financial Group IncDe
CFR.US          CULLEN/FROST BANKERS
CFR_B.US        Cullen/Frost Bankers
CGA.US          CHINA GREEN AGRICULTURE
CGAU.US         CENTERRA GOLD
CGCP.US         CAPITAL GROUP CORE PLUS INCOME ETF
CGDV.US         CAPITAL GROUP DIVIDEND VALUE ETF
CGGO.US         CAPITAL GROUP GLOBAL GROWTH EQUITY ETF
CGMS.US         CAPITAL GROUP US MULTI-SECTOR INCOME ETF
CGMU.US         CAPITAL GROUP MUNICIPAL INCOME ETF
CGSD.US         CAPITAL GROUP SHORT DURATION INCOME ETF
CGV.US          CONDUCTOR GLOBAL EQUITY VALUE ETF
CGXU.US         CAPITAL GROUP INT FOCUS EQUITY ETF
CHAT.US         Roundhill Generative AI & Tech
CHCT.US         COMMUNITY HEALTHCARE TRUST
CHD.US          CHURCH & DWIGHT
CHE.US          CHEMED
CHGG.US         CHEGG
CHH.US          CHOICE HOTELS INT
CHMI.US         CHERRY HILL MORTGAGE INVESTMENT
CHMI_A.US       Cherry Hill Mortgage Investmen
CHMI_B.US       Cherry Hill Mortgage Investmen
CHN.US          CHINA FUND
CHPT.US         CHARGEPOINT HOLDINGS
CHRG.US         ENERGY & MINERALS GROUP EV SOLAR & BATTERY MATERIALS LITHIUM
CHS.US          CHICO'S FAS
CHT.US          CHUNGHWA TELECOM
CHWY.US         CHEWY
CI.US           CIGNA GROUP
CIA.US          CITIZENS INC/TX
CIB.US          BANCOLOMBIA
CIEN.US         CIENA
CIF.US          MFS INTERMEDIATE HIGH INCOME FUND
CIG-C.US        CIA ENERGETICA DE MINAS GERAIS
CIG.US          CIA ENERGETICA DE MINAS GERAIS
CII.US          BLACKROCK ENHANCED CAPITAL AND INCOME FUND
CIM.US          CHIMERA INVESTMENT
CIM_A.US        Chimera Investment Corp
CIM_B.US        Chimera Investment Corp
CIM_C.US        Chimera Investment Corp
CIM_D.US        Chimera Investment Corp
CINT.US         CI&T
CIO.US          CITY OFFICE REIT
CION.US         CION INVESTMENT
CIO_A.US        City Office REIT
CIR.US          CIRCOR INT
CIVI.US         CIVITAS RESOURCES
CL.US           COLGATE-PALMOLIVE
CLB.US          CORE LABORATORIES
CLBR-U.US       COLOMBIER ACQUISITION
CLBR-WS.US      COLOMBIER ACQUISITION
CLCO.US         COOL
CLDT.US         CHATHAM LODGING TRUST
CLDT_A.US       Chatham Lodging Trust
CLF.US          CLEVELAND-CLIFFS
CLH.US          CLEAN HARBORS
CLIA.US         Veridien Climate Action ETF
CLIP.US         GLOBAL X 1-3 MONTH T-BILL ETF
CLOI.US         VANECK CLO ETF
CLOX.US         Panagram AAA CLO ETF
CLOZ.US         PANAGRAM BBB-B CLO ETF
CLPR.US         CLIPPER REALTY
CLS.US          CELESTICA
CLVT.US         CLARIVATE
CLVT_A.US       Clarivate Plc
CLW.US          CLEARWATER PAPER
CLX.US          CLOROX
CM.US           CANADIAN IMPERIAL BANK OF COMMERCE
CMA.US          COMERICA
CMC.US          COMMERCIAL METALS
CMCM.US         CHEETAH MOBILE
CMDT.US         PIMCO COMMODITY STRATEGY ACTIVE ETF
CMG.US          CHIPOTLE MEXICAN GRILL
CMI.US          CUMMINS
CMP.US          COMPASS MINERALS INT
CMRE.US         COSTAMARE
CMRE_B.US       Costamare
CMRE_C.US       COSTAMARE
CMRE_D.US       Costamare
CMRE_E.US       Costamare
CMS.US          CMS ENERGY
CMSA.US         CMS Energy Corp
CMSC.US         CMS Energy Corp
CMSD.US         CMS Energy Corp
CMS_B.US        Consumers Energy Company $4.50
CMS_C.US        CMS Energy Corp
CMTG.US         CLAROS MORTGAGE TRUST
CMU.US          MFS HIGH YIELD MUNICIPAL TRUST
CNA.US          CNA FINANCIAL
CNC.US          CENTENE
CNDA-U.US       CONCORD ACQUISITION II
CNDA-WS.US      CONCORD ACQUISITION II
CNDA.US         CONCORD ACQUISITION II
CNDB-U.US       CONCORD ACQUISITION III
CNDB-WS.US      CONCORD ACQUISITION III
CNDB.US         CONCORD ACQUISITION III
CNF.US          CNFINANCE HOLDINGS
CNHI.US         CNH INDUSTRIAL
CNI.US          CANADIAN NATIONAL RAILWAY
CNK.US          CINEMARK HOLDINGS
CNM.US          CORE & MAIN
CNMD.US         CONMED
CNNE.US         CANNAE HOLDINGS
CNO.US          CNO FINANCIAL GROUP
CNO_A.US        CNO Financial Group
CNP.US          CENTERPOINT ENERGY
CNQ.US          CANADIAN NATURAL RESOURCES
CNS.US          COHEN & STEERS
CNX.US          CNX RESOURCES
CODI.US         COMPASS DIVERSIFIED HOLDINGS
CODI_A.US       Compass Diversified Holdings
CODI_B.US       Compass Diversified Holdings
CODI_C.US       Compass Diversified Holdings
COE.US          51 TALK ONLINE EDUCATION GROUP
COF.US          CAPITAL ONE FINANCIAL
COF_I.US        Capital One Financial Corp
COF_J.US        Capital One Financial Corp
COF_K.US        Capital One Financial Corp
COF_L.US        Capital One Financial Corp
COF_N.US        Capital One Financial Corp
COHR.US         COHERENT
COLD.US         AMERICOLD REALTY TRUST
COMP.US         COMPASS
COO.US          COOPER COS
COOK.US         TRAEGER
COP.US          CONOCOPHILLIPS
CORR.US         CORENERGY INFRASTRUCTURE TRUST
CORR_A.US       CorEnergy Infrastructure Trust
CORS-U.US       CORSAIR PARTNERING
CORS.US         CORSAIR PARTNERING
COTY.US         COTY
COUR.US         COURSERA
CP.US           CANADIAN PACIFIC KANSAS CITY
CPA.US          COPA HOLDINGS
CPAC.US         CEMENTOS PACASMAYO SAA
CPB.US          CAMPBELL SOUP
CPE.US          CALLON PETROLEUM
CPF.US          CENTRAL PACIFIC FINANCIAL
CPG.US          CRESCENT POINT ENERGY
CPII.US         IONIC INFLATION PROTECTION ETF
CPK.US          CHESAPEAKE UTILITIES
CPNG.US         COUPANG
CPRI.US         CAPRI HOLDINGS
CPS.US          COOPER-STANDARD HOLDINGS
CPT.US          CAMDEN PROPERTY TRUST
CPTK-U.US       CROWN PROPTECH ACQUISITIONS
CPTK.US         CROWN PROPTECH ACQUISITIONS
CPUH-U.US       COMPUTE HEALTH ACQUISITION
CPUH-WS.US      COMPUTE HEALTH ACQUISITION
CPUH.US         COMPUTE HEALTH ACQUISITION
CR.US           CRANE
CRBG.US         COREBRIDGE FINANCIAL
CRC.US          CALIFORNIA RESOURCES
CRD-A.US        CRAWFORD
CRD-B.US        CRAWFORD
CRDT.US         SIMPLIFY OPPORTUNISTIC INCOME ETF
CRED.US         COLUMBIA RESEARCH ENHANCED REAL ESTATE ETF
CRGY.US         CRESCENT ENERGY
CRH.US          CRH
CRI.US          CARTER'S
CRIT.US         OPTICA RARE EARTH & CRITICAL MATERIALS ETF
CRK.US          COMSTOCK RESOURCES
CRL.US          CHARLES RIVER LABORATORIES INT
CRM.US          SALESFORCE
CRS.US          CARPENTER TECHNOLOGY
CRT.US          CROSS TIMBERS ROYALTY TRUST
CRYP.US         ADVISORSHARES MANAGED BITCOIN STRATEGY ETF
CS.US           CREDIT SUISSE GROUP
CSAN.US         COSAN
CSHI.US         NEOS ENHANCED INCOME CASH ALTERNATIVE ETF
CSL.US          CARLISLE COS
CSR.US          CENTERSPACE
CSR_C.US        Centerspace
CSTA-U.US       CONSTELLATION ACQUISITION I
CSTA.US         CONSTELLATION ACQUISITION I
CSTM.US         CONSTELLIUM SE
CSV.US          CARRIAGE SERVICES
CTA.US          SIMPLIFY MANAGED FUTURES STRATEGY ETF
CTA_A.US        EIDP
CTA_B.US        EIDP
CTBB.US         Qwest Corp
CTDD.US         Qwest Corp
CTLT.US         CATALENT
CTO.US          CTO REALTY GROWTH
CTOS-WS.US      CUSTOM TRUCK ONE SOURCE
CTOS.US         CUSTOM TRUCK ONE SOURCE
CTO_A.US        CTO Realty Growth
CTR.US          CLEARBRIDGE MLP & MIDSTREAM TR FUND
CTRA.US         COTERRA ENERGY
CTRE.US         CARETRUST REIT
CTS.US          CTS
CTV-WS.US       INNOVID
CTV.US          INNOVID
CTVA.US         CORTEVA
CUBB.US         Customers Bancorp
CUBE.US         CUBESMART
CUBI.US         CUSTOMERS BANCORP
CUBI_E.US       Customers Bancorp
CUBI_F.US       Customers Bancorp
CUK.US          CARNIVAL
CULP.US         CULP
CURO.US         CURO GROUP HOLDINGS
CURV.US         TORRID HOLDINGS
CUZ.US          COUSINS PROPERTIES
CVE-WS.US       CENOVUS ENERGY
CVE.US          CENOVUS ENERGY
CVEO.US         CIVEO
CVI.US          CVR ENERGY
CVIE.US         CALVERT INT RESPONSIBLE ETF
CVII-U.US       CHURCHILL CAPITAL VII
CVII-WS.US      CHURCHILL CAPITAL VII
CVII.US         CHURCHILL CAPITAL VII
CVLC.US         CALVERT US LARGE-CAP CORE RESPONSIBLE ETF
CVMC.US         CALVERT US MID-CAP CORE RESPONSIBLE ETF
CVNA.US         CARVANA
CVS.US          CVS HEALTH
CVSB.US         CALVERT ULTRA-SHORT INVESTMENT GRADE ETF
CVSE.US         CALVERT US SELECT EQUITY ETF
CVX.US          CHEVRON
CW.US           CURTISS-WRIGHT
CWAN.US         CLEARWATER ANALYTICS HOLDINGS
CWEN-A.US       CLEARWAY ENERGY
CWEN.US         CLEARWAY ENERGY
CWH.US          CAMPING WORLD HOLDINGS
CWK.US          CUSHMAN & WAKEFIELD
CWT.US          CALIFORNIA WATER SERVICE GROUP
CX.US           CEMEX SAB DE CV
CXAC-U.US       C5 ACQUISITION
CXAC-WS.US      C5 ACQUISITION
CXAC.US         C5 ACQUISITION
CXE.US          MFS HIGH INCOME MUNICIPAL TRUST
CXH.US          MFS INVESTMENT GRADE MUNICIPAL TRUST
CXM.US          SPRINKLR
CXT.US          CRANE NXT
CXW.US          CORECIVIC
CYD.US          CHINA YUCHAI INT
CYH.US          COMMUNITY HEALTH SYSTEMS
CZOO.US         CAZOO GROUP
C_J.US          CITIGROUP
C_K.US          Citigroup
C_N.US          Citigroup Capital XIII
D.US            DOMINION ENERGY
DAC.US          DANAOS
DAL.US          DELTA AIR LINES
DAN.US          DANA
DAO.US          YOUDAO
DAR.US          DARLING INGREDIENTS
DASH.US         DOORDASH
DAVA.US         ENDAVA
DB.US           DEUTSCHE BANK
DBD.US          DIEBOLD NIXDORF
DBI.US          DESIGNER BRANDS
DBND.US         DOUBLELINE OPPORTUNISTIC BOND ETF
DBRG.US         DIGITALBRIDGE GROUP
DBRG_H.US       DigitalBridge Group
DBRG_I.US       DigitalBridge Group
DBRG_J.US       DigitalBridge Group
DCF.US          BNY MELLON ALCENTRA GLOBAL CREDIT INCOME 2024 TARGET TERM FUND
DCI.US          DONALDSON
DCMB.US         DOUBLELINE COMMERCIAL REAL ESTATE ETF
DCO.US          DUCOMMUN
DCP.US          DCP MIDSTREAM
DCP_B.US        DCP Midstream LP
DCP_C.US        DCP Midstream LP
DD.US           DUPONT DE NEMOURS
DDD.US          3D SYSTEMS
DDL.US          DINGDONG CAYMAN
DDS.US          DILLARD'S
DDT.US          Dillard's Capital Trust I
DE.US           DEERE
DEA.US          EASTERLY GOVERNMENT PROPERTIES
DECK.US         DECKERS OUTDOOR
DECT.US         ALLIANZIM US LARGE CAP BUFFER10 DEC ETF
DECW.US         ALLIANZIM US LARGE CAP BUFFER20 DEC ETF
DEFI.US         HASHDEX BITCOIN FUTURES ETF
DEHP.US         DIMENSIONAL EMERGING MARKETS HIGH PROFITABILITY
DEI.US          DOUGLAS EMMETT
DELL.US         DELL TECHNOLOGIES
DEN.US          DENBURY
DEO.US          DIAGEO
DESP.US         DESPEGAR.COM
DFCA.US         Dimensional California Municip
DFEM.US         DIMENSIONAL EMERGING MARKETS CORE EQUITY 2 ETF
DFEV.US         DIMENSIONAL EMERGING MARKETS VALUE ETF
DFGR.US         DIMENSIONAL GLOBAL REAL ESTATE ETF
DFH.US          DREAM FINDERS HOMES
DFIN.US         DONNELLEY FINANCIAL SOLUTIONS
DFLV.US         DIMENSIONAL US LARGE CAP VALUE ETF
DFP.US          FLAHERTY & CRUMRINE DYNAMIC PREFERRED AND INCOME FUND
DFS.US          DISCOVER FINANCIAL SERVICES
DFSB.US         DIMENSIONAL GLOBAL SUSTAINABILITY FIXED INCOME ETF
DFSE.US         DIMENSIONAL EMERGING MARKETS SUSTAINABILITY CORE 1 ETF
DFSI.US         DIMENSIONAL INT SUSTAINABILITY CORE 1 ETF
DFSU.US         DIMENSIONAL US SUSTAINABILITY CORE 1 ETF
DFSV.US         DIMENSIONAL US SMALL CAP VALUE ETF
DFUV.US         DIMENSIONAL US MARKETWIDE VALUE ETF
DG.US           DOLLAR GENERAL
DGX.US          QUEST DIAGNOSTICS
DHF.US          BNY MELLON HIGH YIELD STRATEGIES FUND
DHI.US          DR HORTON
DHR.US          DANAHER
DHT.US          DHT HOLDINGS
DHX.US          DHI GROUP
DIAX.US         NUVEEN DOW 30SM DYNAMIC OVERWRITE FUND
DIEM.US         FRANKLIN EMERGING MARKET CORE
DIN.US          DINE BRANDS GLOBAL
DINO.US         HF SINCLAIR
DIP.US          BTD CAPITAL FUND
DIS.US          WALT DISNEY
DIVI.US         FRANKLIN INT CORE DIVIDEND TILT ETF
DIVY.US         SOUND EQUITY INCOME ETF
DJIA.US         GLOBAL X DOW 30 COVERED CALL ETF
DK.US           DELEK US HOLDINGS
DKL.US          DELEK LOGISTICS PARTNERS
DKRB.US         SUBVERSIVE DECARBONIZATION ETF
DKS.US          DICK'S SPORTING GOODS
DLB.US          DOLBY LABORATORIES
DLNG.US         DYNAGAS LNG PARTNERS
DLNG_A.US       Dynagas LNG Partners LP
DLNG_B.US       Dynagas LNG Partners LP
DLR.US          DIGITAL REALTY TRUST
DLR_J.US        Digital Realty Trust
DLR_K.US        Digital Realty Trust
DLR_L.US        Digital Realty Trust
DLX.US          DELUXE
DLY.US          DOUBLELINE YIELD OPPORTUNITIES FUND
DM.US           DESKTOP METAL
DMA.US          DESTRA MULTI-ALTERNATIVE FUND
DMB.US          BNY MELLON MUNICIPAL BOND INFRASTRUCTURE FUND
DMBS.US         DOUBLELINE MORTGAGE ETF
DMO.US          WESTERN ASSET MORTGAGE OPPORTUNITY FUND
DMS.US          DIGITAL MEDIA SOLUTIONS
DNA-WS.US       GINKGO BIOWORKS HOLDINGS
DNA.US          GINKGO BIOWORKS HOLDINGS
DNB.US          DUN & BRADSTREET HOLDINGS
DNMR.US         DANIMER SCIENTIFIC
DNOW.US         NOW
DNP.US          DNP SELECT INCOME FUND
DO.US           DIAMOND OFFSHORE DRILLING
DOC.US          PHYSICIANS REALTY TRUST
DOCN.US         DIGITALOCEAN HOLDINGS
DOCS.US         DOXIMITY
DOGG.US         FT CBOE VEST DJIA DOGS 10 TARGET INCOME ETF
DOLE.US         DOLE
DOMA.US         DOMA HOLDINGS
DOOR.US         MASONITE INT
DOUG.US         DOUGLAS ELLIMAN
DOV.US          DOVER
DOW.US          DOW
DPG.US          DUFF & PHELPS UTILITY AND INFRASTRUCTURE FUND
DPZ.US          DOMINO'S PIZZA
DQ.US           DAQO NEW ENERGY
DRD.US          DRDGOLD
DRH.US          DIAMONDROCK HOSPITALITY
DRH_A.US        DiamondRock Hospitality Compan
DRI.US          DARDEN RESTAURANTS
DRLL.US         STRIVE US ENERGY ETF
DRQ.US          DRIL-QUIP
DSAQ.US         DIRECT SELLING ACQUISITION
DSL.US          DOUBLELINE INCOME SOLUTIONS FUND
DSM.US          BNY MELLON STRATEGIC MUNICIPAL BOND FUND
DSMC.US         DISTILLATE SMALL/MID CASH FLOW ETF
DSU.US          BLACKROCK DEBT STRATEGIES FUND
DSX.US          DIANA SHIPPING
DSX_B.US        Diana Shipping
DT.US           DYNATRACE
DTB.US          DTE Energy Company 2020 Series
DTC.US          SOLO BRANDS
DTE.US          DTE ENERGY
DTF.US          DTF TAX-FREE INCOME 2028 TERM FUND
DTG.US          DTE Energy Company 2021 Series
DTM.US          DT MIDSTREAM
DTRE.US         FIRST TRUST ALERIAN DISRUPTIVE
DTW.US          DTE Energy Company 2017 Series
DUBS.US         APTUS LARGE CAP ENHANCED YIELD ETF
DUHP.US         DIMENSIONAL US HIGH PROFITABILITY ETF
DUK.US          DUKE ENERGY
DUKB.US         Duke Energy Corp
DUK_A.US        Duke Energy Corp
DULL.US         MICROSECTORS GOLD 3X INVERSE LEVERAGED ETN
DV.US           DOUBLEVERIFY HOLDINGS
DVA.US          DAVITA
DVN.US          DEVON ENERGY
DVND.US         TOUCHSTONE DIVIDEND SELECT ETF
DX.US           DYNEX CAPITAL
DXC.US          DXC TECHNOLOGY
DX_C.US         Dynex Capital
DY.US           DYCOM INDUSTRIES
DYLG.US         GLOBAL X DOW 30 COVERED CALL & GROWTH ETF
E.US            ENI SPA
EAF.US          GRAFTECH INT
EAI.US          Entergy Arkansas LLC
EARN.US         ELLINGTON RESIDENTIAL MORTGAGE REIT
EAT.US          BRINKER INT
EB.US           EVENTBRITE
EBF.US          ENNIS
EBR-B.US        CENTRAIS ELETRICAS BRASILEIRAS
EBR.US          CENTRAIS ELETRICAS BRASILEIRAS
EBS.US          EMERGENT BIOSOLUTIONS
EC.US           ECOPETROL
ECAT.US         BLACKROCK ESG CAPITAL ALLOCATION TERM TRUST
ECC.US          EAGLE POINT CREDIT
ECCC.US         Eagle Point Credit Company
ECCV.US         Eagle Point Credit Company
ECCW.US         Eagle Point Credit Company
ECCX.US         Eagle Point Credit Company
ECC_D.US        Eagle Point Credit Company
ECL.US          ECOLAB
ECML.US         Euclidean Fundamental Value ET
ECVT.US         ECOVYST
ED.US           CONSOLIDATED EDISON
EDD.US          MORGAN STANLEY EMERGING MARKETS DOMESTIC DEBT FUND
EDF.US          VIRTUS STONE HARBOR EMERGING M
EDI.US          STONE HARBOR EMERGING MARKETS TOTAL INCOME FUND
EDN.US          EMPRESA DISTRIBUIDORA Y COMERCIALIZADORA NORTE
EDR.US          ENDEAVOR GROUP HOLDINGS
EDU.US          NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP
EE.US           EXCELERATE ENERGY
EEA.US          EUROPEAN EQUITY FUND
EEX.US          EMERALD HOLDING
EFC.US          ELLINGTON FINANCIAL
EFC_A.US        Ellington Financial
EFC_B.US        Ellington Financial
EFC_C.US        Ellington Financial
EFR.US          EATON VANCE SENIOR FLOATING-RATE TRUST
EFT.US          EATON VANCE FLOATING-RATE INCOME TRUST
EFX.US          EQUIFAX
EFXT.US         ENERFLEX
EG.US           EVEREST GROUP
EGF.US          BLACKROCK ENHANCED GOVERNMENT FUND
EGGF-U.US       EG ACQUISITION
EGGF-WS.US      EG ACQUISITION
EGGF.US         EG ACQUISITION
EGLE.US         EAGLE BULK SHIPPING
EGO.US          ELDORADO GOLD
EGP.US          EASTGROUP PROPERTIES
EGUS.US         ISHARES ESG AWARE MSCI USA GROWTH ETF
EGY.US          VAALCO ENERGY
EHAB.US         ENHABIT
EHC.US          ENCOMPASS HEALTH
EHI.US          WESTERN ASSET GLOBAL HIGH INCOME FUND
EIC.US          EAGLE POINT INCOME
EICA.US         Eagle Point Income Company
EICB.US         Eagle Point Income Company
EIG.US          EMPLOYERS HOLDINGS
EIPX.US         FT ENERGY INCOME PARTNERS STRATEGY ETF
EIX.US          EDISON INT
EL.US           ESTEE LAUDER COS
ELAN.US         ELANCO ANIMAL HEALTH
ELC.US          Entergy Louisiana LLC
ELF.US          ELF BEAUTY
ELIQ.US         TLG ACQUISITION ONE
ELME.US         ELME COMMUNITIES
ELP.US          CIA PARANAENSE DE ENERGIA
ELS.US          EQUITY LIFESTYLE PROPERTIES
ELV.US          ELEVANCE HEALTH
EMC.US          GLOBAL X EMERGING MARKETS CONSUMER ETF
EMD.US          WESTERN ASSET EMERGING MARKETS DEBT FUND
EMDM.US         FIRST TRUST BLOOMBERG EMERGING MARKET DEMOCRACIES ETF
EME.US          EMCOR GROUP
EMF.US          TEMPLETON EMERGING MARKETS FUND
EMM.US          GLOBAL X EMERGING MARKETS ETF
EMN.US          EASTMAN CHEMICAL
EMO.US          CLEARBRIDGE ENERGY MIDSTREAM OPPORTUNITY FUND
EMP.US          Entergy Mississippi LLC
EMR.US          EMERSON ELECTRIC
EMZA.US         EMERGE EMPWR SUSTAINABLE GLOBAL CORE EQUITY ETF/DE
ENB.US          ENBRIDGE
ENFN.US         ENFUSION
ENIC.US         ENEL CHILE
ENJ.US          Entergy New Orleans LLC
ENLC.US         ENLINK MIDSTREAM
ENO.US          Entergy New Orleans LLC
ENOV.US         ENOVIS
ENR.US          ENERGIZER HOLDINGS
ENRG.US         SOFI SMART ENERGY ETF
ENS.US          ENERSYS
ENV.US          ENVESTNET
ENVA.US         ENOVA INT
ENZ.US          ENZO BIOCHEM
EOCW-U.US       ELLIOTT OPPORTUNITY II
EOCW.US         ELLIOTT OPPORTUNITY II
EOD.US          ALLSPRING GLOBAL DIVIDEND OPPO
EOG.US          EOG RESOURCES
EOI.US          EATON VANCE ENHANCED EQUITY INCOME FUND
EOS.US          EATON VANCE ENHANCED EQUITY INCOME FUND II
EOT.US          EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST
EPAC.US         ENERPAC TOOL GROUP
EPAM.US         EPAM SYSTEMS
EPC.US          EDGEWELL PERSONAL CARE
EPD.US          ENTERPRISE PRODUCTS PARTNERS
EPR.US          EPR PROPERTIES
EPRT.US         ESSENTIAL PROPERTIES REALTY TRUST
EPR_C.US        EPR Properties
EPR_E.US        EPR Properties
EPR_G.US        EPR Properties
EP_C.US         El Paso Energy Capital Trust I
EQBK.US         EQUITY BANCSHARES
EQC.US          EQUITY COMMONWEALTH
EQC_D.US        Equity Commonwealth 6 1/
EQH.US          EQUITABLE HOLDINGS
EQH_A.US        Equitable Holdings
EQH_C.US        Equitable Holdings
EQLS.US         SIMPLIFY MARKET NEUTRAL EQUITY LONG/SHORT ETF
EQNR.US         EQUINOR ASA
EQR.US          EQUITY RESIDENTIAL
EQS.US          EQUUS TR
EQT.US          EQT
EQTY.US         KOVITZ CORE EQUITY ETF
ERF.US          ENERPLUS
ERJ.US          EMBRAER
ERO.US          ERO COPPER
ES.US           EVERSOURCE ENERGY
ESAB.US         ESAB
ESBA.US         EMPIRE STATE REALTY OP
ESE.US          ESCO TECHNOLOGIES
ESI.US          ELEMENT SOLUTIONS
ESMT.US         ENGAGESMART
ESNT.US         ESSENT GROUP
ESRT.US         EMPIRE STATE REALTY TRUST
ESS.US          ESSEX PROPERTY TRUST
ESTC.US         ELASTIC
ESTE.US         EARTHSTONE ENERGY
ET.US           ENERGY TRANSFER
ETB.US          EATON VANCE TAX-MANAGED BUY-WRITE INCOME FUND
ETD.US          ETHAN ALLEN INTERIORS
ETG.US          EATON VANCE TAX-ADVANTAGED GLOBAL DIVIDEND INCOME FUND
ETI_.US         Entergy Texas
ETJ.US          EATON VANCE RISK-MANAGED DIVERSIFIED EQUITY INCOME FUND
ETN.US          EATON
ETO.US          EATON VANCE TAX-ADVANTAGED GLOBAL DIVIDEND OPPORTUNITIES FUND
ETR.US          ENTERGY
ETRN.US         EQUITRANS MIDSTREAM
ETV.US          EATON VANCE TAX-MANAGED BUY-WRITE OPPORTUNITIES FUND
ETW.US          EATON VANCE TAX MANAGED GLOBAL BUY WRITE OPPORTUNITIES FUND
ETWO-WS.US      E2OPEN PARENT HOLDINGS
ETWO.US         E2OPEN PARENT HOLDINGS
ETX.US          EATON VANCE MUNICIPAL INCOME 2028 TERM TRUST
ETY.US          EATON VANCE TAX-MANAGED DIVERSIFIED EQUITY INCOME FUND
ET_C.US         Energy Transfer LP
ET_D.US         Energy Transfer LP
ET_E.US         Energy Transfer LP
EURN.US         EURONAV
EVA.US          ENVIVA
EVAV.US         DIREXION DAILY ELECTRIC & AUTONOMOUS VEHICLES BULL 2X SHARES
EVC.US          ENTRAVISION COMMUNICATIONS
EVE-U.US        EVE MOBILITY ACQUISITION
EVE.US          EVE MOBILITY ACQUISITION
EVEX-WS.US      EVE HOLDING
EVEX.US         EVE HOLDING
EVF.US          EATON VANCE SENIOR INCOME TRUST
EVG.US          EATON VANCE SHORT DURATION DIVERSIFIED INCOME FUND
EVH.US          EVOLENT HEALTH
EVN.US          EATON VANCE MUNICIPAL INCOME TRUST
EVR.US          EVERCORE
EVRI.US         EVERI HOLDINGS
EVT.US          EATON VANCE TAX-ADVANTAGED DIVIDEND INCOME FUND
EVTC.US         EVERTEC
EVTL-WS.US      VERTICAL AEROSPACE
EVTL.US         VERTICAL AEROSPACE
EVUS.US         ISHARES ESG AWARE MSCI USA VALUE ETF
EVXX.US         Defiance Pure Electric Vehicle
EW.US           EDWARDS LIFESCIENCES
EXG.US          EATON VANCE TAX-MANAGED GLOBAL DIVERSIFIED EQUITY INCOME FUND
EXK.US          ENDEAVOUR SILVER
EXP.US          EAGLE MATERIALS
EXPR.US         EXPRESS
EXR.US          EXTRA SPACE STORAGE
F.US            FORD MOTOR
FACT-U.US       FREEDOM ACQUISITION I
FACT-WS.US      FREEDOM ACQUISITION I
FACT.US         FREEDOM ACQUISITION I
FAF.US          FIRST AMERICAN FINANCIAL
FATH-WS.US      FATHOM DIGITAL MANUFACTURING C
FATH.US         FATHOM DIGITAL MANUFACTURING C
FBIN.US         FORTUNE BRANDS INNOVATIONS
FBK.US          FB FINANCIAL
FBP.US          FIRST BANCORP/PUERTO RICO
FBRT.US         FRANKLIN BSP REALTY TRUST
FBRT_E.US       Franklin BSP Realty Trust
FBY.US          YIELDMAX META OPTION INCOME STRATEGY ETF
FC.US           FRANKLIN COVEY
FCF.US          FIRST COMMONWEALTH FINANCIAL
FCN.US          FTI CONSULTING
FCPT.US         FOUR CORNERS PROPERTY TRUST
FCRX.US         Crescent Capital BDC
